A,B,C,D,E,F,G,H,I,J,K
report_date,revenue,expenses,occupancy_rate,,,,,,,
nan,nan,nan,nan,,,,,,,
nan,nan,nan,nan,,,,,,,
West,11.0,28%,"1,337",,,,,,,
Midwest & Northeast,16.0,41%,"1,956",,,,,,,
South,12.0,31%,"1,449",,,,,,,
Total,39.0,100%,"4,742",,,,,,,
,,,,,,,,,,
Hotel,Keys,Brand,Address,,,,,,,
sonesta simply suites Phoenix,98,sonesta simply suites,11411 n. black Canyon Highway,,,,,,,
sonesta simply suites Phoenix Tempe,122,sonesta simply suites,1335 W. baseline Road,,,,,,,
sonesta simply suites silicon Valley santa Clara,122,sonesta simply suites,481 el Camino Real,,,,,,,
sonesta simply suites anaheim,133,sonesta simply suites,12901 Garden Grove boulevard,,,,,,,
sonesta simply suites orange County airport,122,sonesta simply suites,2600 s. Red Hill avenue,,,,,,,
sonesta simply suites Irvine east foothill,122,sonesta simply suites,3 south Pointe Drive,,,,,,,
sonesta simply suites Denver West federal Center,122,sonesta simply suites,895 Tabor street,,,,,,,
sonesta simply suites albuquerque,123,sonesta simply suites,"3025 Richmond avenue, ne",,,,,,,
sonesta simply suites salt lake City airport,122,sonesta simply suites,2170 West north Temple street,,,,,,,
sonesta simply suites seattle Renton,137,sonesta simply suites,300 sW 19th street,,,,,,,
*sonesta select seattle Renton,114,sonesta select,200 sW 19th street,,,,,,,
,,,,,,,,,,
